feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g_Prauseria	act_sports_intense	Yes	0.000508493113296432	0.000167996881378289	2916	15	0.0024933264396119	0.0726389102740267
g_Fusobacterium	Gender	Female	-0.0071533636055182	0.00237159990633011	2916	469	0.00258137550263059	0.0735692018249717
g_Faecalibacterium	BMI	BMI	0.00556182697837847	0.00184977650018535	2916	2475	0.00266320217609119	0.074286341550118
g_Blautia	family_income_cat	>=10000	-0.00852678584302706	0.00290800157569701	2916	884	0.00339229384014364	0.0889459444885662
g_Holdemania	BMI	BMI	-0.000167690653003234	5.71870496687076e-05	2916	44	0.00339079066753791	0.0889459444885662
g_Sediminibacterium	Age	Age	-0.00296927717062904	0.00101191599761268	2916	1078	0.00336915434985183	0.0889459444885662
g_Actinomyces	Age	Age	-0.00022237822495712	7.77165600674987e-05	2916	45	0.00424798437880766	0.0913472041903388
g_Adlercreutzia	Marital_status	Other	-0.000194373922438298	6.74015198336429e-05	2916	2	0.00395780687923151	0.0913472041903388
g_Bradyrhizobium	Gender	Female	-0.00147327253010258	0.000514824822675399	2916	353	0.00424403089502283	0.0913472041903388
g_Fusobacterium	Energy_intake	Energy_intake	0.00280781305435856	0.000972799330406983	2916	469	0.00392656846771157	0.0913472041903388
g_Lachnospira	Age	Age	-0.000953191801226913	0.000329998388138797	2916	226	0.00389988902417767	0.0913472041903388
g_Odoribacter	Gender	Female	0.000349869643917819	0.000120738573838652	2916	13	0.00378677745635513	0.0913472041903388
g_Parabacteroides	family_income_cat	3000-5000	0.0037178431631356	0.00128321364283616	2916	927	0.00379225231129097	0.0913472041903388
g_Prevotella	Education	High_school	-0.0214995325133032	0.00751339120001129	2916	1387	0.00424672338032731	0.0913472041903388
g_Sutterella	Family_diabetes_history	Yes	0.00275691494069534	0.000963543412738263	2916	355	0.00425032757865039	0.0913472041903388
g_Veillonella	Age	Age	0.00231093125917158	0.000806445564475435	2916	364	0.00419252179581501	0.0913472041903388
g_WAL_1855D	family_income_cat	Declined to answer or unknown	-0.000994038938827619	0.000343386148312761	2916	49	0.00382221744492929	0.0913472041903388
g_Sutterella	BMI	BMI	0.000711317743649886	0.000250936473530046	2916	355	0.00461935284921561	0.0976769610535752
g_Adlercreutzia	Serum_Zn	Serum_Zn	5.43463081414318e-05	1.93656973641674e-05	2916	2	0.00504461346715825	0.0991424937658306
g_Butyricimonas	Education	Bachelor_degree_or_above	0.000872699893081735	0.000309818901791762	2916	77	0.00488323494024413	0.0991424937658306
g_Dialister	Education	Bachelor_degree_or_above	0.011650601247272	0.00413315381667914	2916	608	0.00485285021470747	0.0991424937658306
g_Pseudidiomarina	Serum_Zn	Serum_Zn	5.29114423287508e-05	1.8861262312413e-05	2916	0	0.00506058060466545	0.0991424937658306
g_Staphylococcus	Marital_status	Other	-0.000294728272376169	0.000105076162753949	2916	7	0.00506677885759775	0.0991424937658306
g_Roseburia	Gender	Female	0.00439117624566088	0.00158018794638455	2916	1155	0.00548960323132152	0.105836321121508
g_Prauseria	Serum_Zn	Serum_Zn	0.000119674778802066	4.37061423517568e-05	2916	15	0.00621603210790181	0.116466163440118
g_SMB53	Serum_Zn	Serum_Zn	0.000269790380198166	9.85344742193942e-05	2916	26	0.0062186357290681	0.116466163440118
g_SMB53	Education	High_school	0.000765742455742428	0.000280764255132812	2916	26	0.00642302197804589	0.117210464404481
g_Streptococcus	family_income_cat	>=10000	-0.0123096294045366	0.00451460898991162	2916	690	0.00643718797644747	0.117210464404481
g_Dialister	Gender	Female	0.00805945911744151	0.00297042834762004	2916	608	0.00670249350710653	0.120369438189269
g_Staphylococcus	family_income_cat	Declined to answer or unknown	-0.000224134892983142	8.35389575118113e-05	2916	7	0.00733801417527679	0.130001845726863
g_Halomonas	Serum_Zn	Serum_Zn	6.19598655611084e-05	2.33404206800895e-05	2916	0	0.00798331283053236	0.139548308277706
g_Roseburia	family_income_cat	3000-5000	-0.00515588952988338	0.00194584564966373	2916	1155	0.00810034125111001	0.139730886581648
g_Butyricimonas	Family_diabetes_history	Yes	-0.000809617826748499	0.000314733130534307	2916	77	0.0101491695229516	0.166900226881103
g_Prauseria	family_income_cat	5000-10000	-0.000371544126508589	0.000144488558725368	2916	15	0.0101770336843419	0.166900226881103
g_Sediminibacterium	family_income_cat	5000-10000	-0.00784566273746965	0.00305138000155086	2916	1078	0.0101846057593351	0.166900226881103
g_Ruminococcus	Energy_intake	Energy_intake	-0.00388212753266065	0.00150298534946885	2916	1983	0.0098447308052731	0.166900226881103
g_Phascolarctobacterium	Family_diabetes_history	Yes	0.00749478896049287	0.00294174581395711	2916	1236	0.0108937272528897	0.176316992944919
g_Phascolarctobacterium	Serum_Zn	Serum_Zn	0.00192366773533184	0.000759760520215899	2916	1236	0.0113958002539673	0.179998724493386
g_WAL_1855D	family_income_cat	5000-10000	-0.00103992279378835	0.000410253561324976	2916	49	0.0113024366178819	0.179998724493386
g_Clostridium	BMI	BMI	0.00108249818185368	0.000432422184217803	2916	657	0.0123574954683509	0.190596194811859
g_Parabacteroides	family_income_cat	5000-10000	0.00314969515822318	0.00125764748036109	2916	927	0.0123193025265825	0.190596194811859
g_Parabacteroides	family_income_cat	Declined to answer or unknown	0.00262693135251167	0.00105266295025372	2916	927	0.0126328516578021	0.192577540969519
g_Adlercreutzia	Dringking_status	Drinking within the past 30 days	-0.00012067518120983	4.91749448955267e-05	2916	2	0.0141862928935241	0.211394117087312
g_Fusobacterium	family_income_cat	3000-5000	0.00716638076034853	0.00292039144522896	2916	469	0.014189689018828	0.211394117087312
g_Desulfovibrio	Age	Age	0.000376742569482888	0.000154253441364192	2916	220	0.0146509582840222	0.21341562567059
g_Sediminibacterium	Gender	Female	-0.00618466214664075	0.00252834710367598	2916	1078	0.0144990568699636	0.21341562567059
g_Holdemania	Age	Age	-0.000151227041939793	6.21750173713195e-05	2916	44	0.0150643127290556	0.217025428437274
g_Desulfovibrio	BMI	BMI	-0.000343973390612897	0.000141878516256471	2916	220	0.0153936047028152	0.219358867015117
g_Blautia	family_income_cat	5000-10000	-0.0052315299894915	0.00217013139961829	2916	884	0.0159839729384089	0.225322457228539
g_Prevotella	family_income_cat	5000-10000	-0.0208235417833261	0.00871712698869972	2916	1387	0.0169668030679874	0.236632753426931
g_Prauseria	Marital_status	Other	-0.000361968879395802	0.000152117445872346	2916	15	0.0173988749656562	0.240104474526055
g_Bilophila	Serum_Zn	Serum_Zn	0.000180291158890203	7.61414458430454e-05	2916	34	0.0179573627745826	0.245230235390393
g_Butyricimonas	Age	Age	0.00021059994176654	8.91154878848007e-05	2916	77	0.0181823848299202	0.245743366103354
g_Prevotella	Smoking_status	Former smokers	-0.0289823256405355	0.0123047605637159	2916	1387	0.0185703646472989	0.248426000536824
g_Phascolarctobacterium	Age	Age	-0.00193485670257509	0.000832944129519542	2916	1236	0.0202527802860982	0.268195908637118
g_Actinomyces	Education	Bachelor_degree_or_above	-0.000618030740990736	0.000270189389775563	2916	45	0.0222443864096522	0.272545706383683
g_Bradyrhizobium	BMI	BMI	0.000433572095894942	0.000189517369984738	2916	353	0.0222227056020909	0.272545706383683
g_Halomonas	Marital_status	Other	-0.000187149830267336	8.12353822230797e-05	2916	0	0.021304526276591	0.272545706383683
g_Lacticigenium	BMI	BMI	0.000281494368440582	0.000122618693506688	2916	70	0.0217648128946329	0.272545706383683
g_Methylobacterium	Education	High_school	0.000215652744038456	9.37633631806635e-05	2916	11	0.0215208194579513	0.272545706383683
g_Phascolarctobacterium	family_income_cat	Declined to answer or unknown	0.00484054330175342	0.00210231659291466	2916	1236	0.021378671208743	0.272545706383683
g_Streptococcus	Smoking_status	Former smokers	0.0108872022456839	0.00475566582755925	2916	690	0.0221328839797236	0.272545706383683
g_Veillonella	Serum_Zn	Serum_Zn	-0.00169681666951106	0.00073559015530259	2916	364	0.0211394588487973	0.272545706383683
g_Pseudidiomarina	Dringking_status	Drinking within the past 30 days	-0.000109155857677556	4.78940426172905e-05	2916	0	0.0227329067440587	0.275952229087602
g_Ruminococcus	Dringking_status	Drinking within the past 30 days	0.00768347455712121	0.00339666148534568	2916	1983	0.0237671095587654	0.285859455335243
g_Actinomyces	Smoking_status	Current smokers	0.000496936116703355	0.00022062523426203	2916	45	0.0243716427938757	0.289299768718448
g_Clostridium	Education	Bachelor_degree_or_above	-0.00367834329998296	0.0016344848934138	2916	657	0.0244944884269624	0.289299768718448
g_Adlercreutzia	Dringking_status	Drinking more than 30 days ago	-0.000139359608728937	6.22171376875871e-05	2916	2	0.0251735812632095	0.290883770320006
g_Haemophilus	Serum_Zn	Serum_Zn	-0.000965660819684791	0.000431476311851104	2916	288	0.0252942408973918	0.290883770320006
g_Turicibacter	Education	Bachelor_degree_or_above	-0.00305497864976873	0.0013613173275367	2916	255	0.0248990209141801	0.290883770320006
g_Lacticigenium	family_income_cat	3000-5000	-0.000914947226070259	0.000410172731834137	2916	70	0.0257813767677503	0.291290271321673
g_Megamonas	BMI	BMI	0.00170055290432789	0.000763464969985391	2916	347	0.0259961569371745	0.291290271321673
g_Prevotella	Education	Bachelor_degree_or_above	-0.0223861259103445	0.0100502360010499	2916	1387	0.0259955912851391	0.291290271321673
g_Haemophilus	Smoking_status	Current smokers	-0.00298504414101888	0.00134288159518625	2916	288	0.0263018500593375	0.292218012099928
g_Akkermansia	family_income_cat	3000-5000	0.0136342779534162	0.00616441498321246	2916	571	0.0270602500058639	0.298117544182249
g_Faecalibacterium	Family_diabetes_history	Yes	-0.0156767272430806	0.00710275368390487	2916	2475	0.0273828802423626	0.299157966647812
g_Faecalibacterium	Education	Bachelor_degree_or_above	-0.0153033428935113	0.00699185161190055	2916	2475	0.0286953635922944	0.305850582678845
g_Ralstonia	Education	Bachelor_degree_or_above	0.00869237947772843	0.00395987572359933	2916	1359	0.0282345063872261	0.305850582678845
g_Sphingomonas	Serum_Zn	Serum_Zn	5.64876718350312e-05	2.579071632796e-05	2916	3	0.0285868402274178	0.305850582678845
g_Bacteroides	Education	High_school	0.01967916691725	0.00908295868579896	2916	2808	0.0303464300192321	0.318273358041706
g_Blautia	Gender	Female	-0.00389935195656508	0.00179815212658945	2916	884	0.0301993231302355	0.318273358041706
g_Ralstonia	Age	Age	-0.00245282425368977	0.00113900815938247	2916	1359	0.0313637650540129	0.326332507823896
g_Sediminibacterium	family_income_cat	>=10000	-0.00877745680893587	0.00408888505743063	2916	1078	0.0319029713435182	0.329329097884664
g_Faecalibacterium	family_income_cat	Declined to answer or unknown	0.0108396278020267	0.00507597796322611	2916	2475	0.0328058360406971	0.336003523823078
g_Bifidobacterium	Marital_status	Other	0.00409184159248176	0.00193749525145804	2916	466	0.0347784388433932	0.353445994757275
g_Adlercreutzia	BMI	BMI	-4.09784136044022e-05	1.95278336211022e-05	2916	2	0.0359507758305651	0.362549747029776
g_Bacteroides	Family_diabetes_history	Yes	0.025773582143863	0.0123424719340155	2916	2808	0.0368667147213514	0.368948572516731
g_Halomonas	act_sports_intense	Yes	0.000186927345796002	8.97154878770662e-05	2916	0	0.0372879565921975	0.370337205245234
g_Ralstonia	Education	High_school	0.00614469339980113	0.00296033798725936	2916	1359	0.0380122651277886	0.374692327688202
g_Paraprevotella	Family_diabetes_history	Yes	0.00135777461541099	0.000656328998218305	2916	147	0.0386589572410375	0.374928854613055
g_Prevotella	family_income_cat	3000-5000	-0.0184024928705762	0.00889433362918452	2916	1387	0.0386333837114268	0.374928854613055
g_Ruminococcus	Education	Bachelor_degree_or_above	-0.0105345717555974	0.00509841749757525	2916	1983	0.0388942213786235	0.374928854613055
g_Desulfovibrio	Marital_status	Other	0.00100684197343198	0.000489702432588046	2916	220	0.0398692472572584	0.381522504775663
g_Methanobrevibacter	Education	Bachelor_degree_or_above	-0.00208953498612009	0.00102580304040332	2916	146	0.0417433234311997	0.391340688005716
g_Odoribacter	Education	Bachelor_degree_or_above	0.000343132467998884	0.000167999708756299	2916	13	0.041196435148781	0.391340688005716
g_Veillonella	Smoking_status	Current smokers	-0.00466231387533661	0.00228937360875774	2916	364	0.0417907675978645	0.391340688005716
g_Megasphaera	Family_diabetes_history	Yes	0.00383009948017901	0.00188674149265464	2916	280	0.0424470065869743	0.394666848478889
g_Bifidobacterium	Energy_intake	Energy_intake	-0.00124576716382315	0.00062548560558025	2916	466	0.0464999515406298	0.406409576465104
g_Bilophila	Age	Age	-0.000167690762822742	8.3475738262989e-05	2916	34	0.0446450261627298	0.406409576465104
g_Blautia	family_income_cat	Declined to answer or unknown	-0.00363186677118115	0.00181642070391977	2916	884	0.0456515015284693	0.406409576465104
g_Butyricimonas	Gender	Female	0.000444159330606459	0.000222661649996415	2916	77	0.0461612719126826	0.406409576465104
g_Megasphaera	Energy_intake	Energy_intake	-0.00109864407655611	0.000547516485799498	2916	280	0.0448855584342738	0.406409576465104
g_Ochrobactrum	Marital_status	Other	-0.000313764130836149	0.000156529569255587	2916	22	0.0451090475759201	0.406409576465104
g_Sphingomonas	Gender	Female	-0.000140893677168507	7.06471730024251e-05	2916	3	0.0462097563184016	0.406409576465104
g_Streptococcus	family_income_cat	3000-5000	-0.00686198321207061	0.00343757022171995	2916	690	0.0460086280388372	0.406409576465104
g_WAL_1855D	family_income_cat	>=10000	-0.00110444350648597	0.000549744592874968	2916	49	0.0446284973166458	0.406409576465104
g_Leptothrix	act_sports_intense	Yes	0.000226352854195075	0.000113879931743311	2916	6	0.046945017713745	0.407582239885561
g_Acidaminococcus	Age	Age	0.000594723517857657	0.000303593181677862	2916	135	0.0502146017109216	0.409179167475995
g_Atopobium	BMI	BMI	-5.26935370683589e-05	2.68273470550186e-05	2916	6	0.0496055970775024	0.409179167475995
g_Bilophila	Dringking_status	Drinking more than 30 days ago	-0.000481698691407324	0.000244623404500486	2916	34	0.0490317630848643	0.409179167475995
g_Clostridium	Marital_status	Other	0.00292334179341835	0.00149253178778458	2916	657	0.0502500731988065	0.409179167475995
g_Devosia	Dringking_status	Drinking within the past 30 days	-9.75038081430429e-05	4.96480484389166e-05	2916	0	0.0496371982230675	0.409179167475995
g_Dialister	Dringking_status	Drinking within the past 30 days	-0.00540027908163717	0.0027535846934466	2916	608	0.0499535550401698	0.409179167475995
g_Eggerthella	Education	Bachelor_degree_or_above	-0.000532548586256289	0.000268585036441737	2916	30	0.0474848722218251	0.409179167475995
g_Oscillospira	family_income_cat	5000-10000	0.00153084425517011	0.000777768424055725	2916	466	0.0491343027164565	0.409179167475995
g_Paraprevotella	Age	Age	-0.000368006295496551	0.000185837057541012	2916	147	0.0477684557412027	0.409179167475995
g_Pseudidiomarina	Marital_status	Other	-0.000129771735305307	6.56458542097177e-05	2916	0	0.0481537712394934	0.409179167475995
g_Atopobium	Education	Bachelor_degree_or_above	-0.000195393592519233	0.000101402969348379	2916	6	0.0540895633974389	0.419594187065339
g_Coprococcus	Education	High_school	-0.00322131085926543	0.00167001057548046	2916	1159	0.0538388489785392	0.419594187065339
g_Haemophilus	Gender	Female	-0.00229274323552059	0.00118192070596918	2916	288	0.0524954767621685	0.419594187065339
g_Methanobrevibacter	family_income_cat	Declined to answer or unknown	0.00143649414555649	0.000744717410597649	2916	146	0.0538394350043854	0.419594187065339
g_Odoribacter	family_income_cat	5000-10000	0.000282262553999197	0.000145715463312528	2916	13	0.0528326646622521	0.419594187065339
g_Ralstonia	Smoking_status	Current smokers	-0.00624858791974904	0.00323346712427654	2916	1359	0.0533985576240067	0.419594187065339
g_SMB53	Age	Age	0.000209748060651057	0.000108025765583366	2916	26	0.0522765401735344	0.419594187065339
g_Sediminibacterium	Dringking_status	Drinking within the past 30 days	-0.00453099633638159	0.00234377573523372	2916	1078	0.0533084512330481	0.419594187065339
g_Anaerostipes	Smoking_status	Current smokers	-0.000913021365908736	0.000474919040616019	2916	148	0.0546436330840716	0.421398841018928
g_Blautia	Age	Age	-0.00138125083422821	0.000719671322181845	2916	884	0.0550470622854608	0.42184941387043
g_Dialister	Family_diabetes_history	Yes	0.00804862141209748	0.00419871231929411	2916	608	0.0553456134139694	0.42184941387043
g_Acidaminococcus	Education	Bachelor_degree_or_above	0.00201344796589129	0.0010554720438774	2916	135	0.056538138786052	0.426469080518533
g_Leptothrix	family_income_cat	Declined to answer or unknown	-0.000156347402598966	8.19803654647077e-05	2916	6	0.0566023035928488	0.426469080518533
g_Akkermansia	Age	Age	0.00380278140281114	0.00200354910205788	2916	571	0.0577924542046336	0.431002827564192
g_Alistipes	Dringking_status	Drinking within the past 30 days	-0.000225571939406	0.00011928849061314	2916	15	0.0587269730218449	0.431002827564192
g_Atopobium	family_income_cat	Declined to answer or unknown	-0.000139622755916187	7.36170139740929e-05	2916	6	0.0579788667656061	0.431002827564192
g_Coprobacillus	Education	Bachelor_degree_or_above	-0.000834133662848908	0.000440309961448076	2916	45	0.0582683208414164	0.431002827564192
g_Prevotella	Family_diabetes_history	Yes	-0.0192482213626215	0.0102096489947055	2916	1387	0.0594897655594662	0.431002827564192
g_Sutterella	family_income_cat	Declined to answer or unknown	0.001301006459877	0.000688595627461239	2916	355	0.058943139084128	0.431002827564192
g_Synergistes	Serum_Zn	Serum_Zn	0.000164925178474786	8.74850329906016e-05	2916	21	0.0595053484280082	0.431002827564192
g_Blautia	Education	Bachelor_degree_or_above	-0.00464952976705101	0.00250200929133255	2916	884	0.0632252185166536	0.446724738357418
g_Coprococcus	BMI	BMI	0.00109367105549502	0.00059099871236459	2916	1159	0.0643364877907851	0.446724738357418
g_Megasphaera	Age	Age	0.000994242209573215	0.000534223671797678	2916	280	0.0628317049074008	0.446724738357418
g_Odoribacter	Age	Age	8.94020209165358e-05	4.83229910239134e-05	2916	13	0.0644019645686896	0.446724738357418
g_Prauseria	family_income_cat	>=10000	-0.000359035284583643	0.000193616366510095	2916	15	0.0637886455913125	0.446724738357418
g_Ralstonia	Energy_intake	Energy_intake	-0.00216565839825823	0.00116734951602486	2916	1359	0.0636702532791728	0.446724738357418
g_Sediminibacterium	Dringking_status	Drinking more than 30 days ago	-0.00550624092602682	0.00296539259856145	2916	1078	0.063436288079415	0.446724738357418
g_Ruminococcus	Smoking_status	Current smokers	0.00773466090544641	0.00416315220853984	2916	1983	0.0632866688873596	0.446724738357418
g_Collinsella	family_income_cat	>=10000	-0.00141311487424338	0.000765522795895257	2916	143	0.0650018286370467	0.447202430853049
g_Collinsella	Serum_Zn	Serum_Zn	0.00031830502820419	0.000172805888747884	2916	143	0.0655802280367841	0.447202430853049
g_Dialister	Smoking_status	Current smokers	0.00620290773559126	0.00337495869028499	2916	608	0.0661764085320302	0.447202430853049
g_Pseudomonas	BMI	BMI	0.000293684087394347	0.000159418536510772	2916	15	0.0655450837898922	0.447202430853049
g_Roseburia	family_income_cat	>=10000	-0.00470212020474705	0.00255550627226372	2916	1155	0.0658711657421829	0.447202430853049
g_Bilophila	Education	High_school	0.000394824607999016	0.000216957531830522	2916	34	0.0688889437846338	0.463145668213615
g_Acidaminococcus	Family_diabetes_history	Yes	0.00193550224043938	0.00107221353713355	2916	135	0.0711556210635454	0.468768940775418
g_Alistipes	Marital_status	Other	0.000295225832723584	0.000163502482474938	2916	15	0.0710791457976707	0.468768940775418
g_Faecalibacterium	act_sports_intense	Yes	-0.0127483681051509	0.00705110328193879	2916	2475	0.0707107895236174	0.468768940775418
g_Eubacterium	family_income_cat	5000-10000	-0.00343599607828284	0.0018964081139117	2916	393	0.0701138079768791	0.468768940775418
g_Bifidobacterium	BMI	BMI	-0.00100837642592298	0.000561338750306088	2916	466	0.0725386465277826	0.470322495267377
g_Oscillospira	Age	Age	0.000463570651109369	0.000257927990070061	2916	466	0.0723941971664386	0.470322495267377
g_Sediminibacterium	BMI	BMI	0.00167244572680196	0.000930735412109917	2916	1078	0.0724544179162802	0.470322495267377
g_Sutterella	Marital_status	Other	-0.00155431805317479	0.000866122685485332	2916	355	0.072826442821722	0.470322495267377
g_Turicibacter	Smoking_status	Former smokers	-0.00298339232456082	0.00166669556464416	2916	255	0.0735576483826683	0.472716063870971
g_WAL_1855D	family_income_cat	3000-5000	-0.000748056526315278	0.000418593425530644	2916	49	0.0740304300982264	0.473433628579389
g_Oscillospira	family_income_cat	>=10000	0.00185146860418045	0.00104221882743103	2916	466	0.0757607390188141	0.482147227444977
g_Coprococcus	family_income_cat	5000-10000	0.00340794099519082	0.00193756638931736	2916	1159	0.0787039972178055	0.484417560340577
g_Eggerthella	Serum_Zn	Serum_Zn	0.000124639173398616	7.04673505267248e-05	2916	30	0.0770407382295607	0.484417560340577
g_Faecalibacterium	Gender	Female	0.00883984721301659	0.00502492652137232	2916	2475	0.0786492500038911	0.484417560340577
g_Megamonas	Gender	Female	-0.00364926668928378	0.0020739561646685	2916	347	0.0785866722815031	0.484417560340577
g_Phascolarctobacterium	Dringking_status	Drinking within the past 30 days	0.00339714498413475	0.00192924535651081	2916	1236	0.0783664006777823	0.484417560340577
g_Roseburia	family_income_cat	5000-10000	-0.00337634726217759	0.00190707750976088	2916	1155	0.076760717929411	0.484417560340577
g_SMB53	Gender	Female	-0.000475583743739514	0.00026991038009029	2916	26	0.078173750066247	0.484417560340577
g_Eubacterium	family_income_cat	3000-5000	-0.00339316093337397	0.00193495936035907	2916	393	0.0796034152275307	0.487663912912583
g_Methanobrevibacter	Education	High_school	-0.00134214419446735	0.000766873487936602	2916	146	0.0801982046845903	0.489022541123246
g_Butyricimonas	family_income_cat	5000-10000	0.000468892326720461	0.000268723113580234	2916	77	0.0811100549612316	0.490024341263477
g_Lacticigenium	Dringking_status	Drinking within the past 30 days	0.0005388662361612	0.000308778106847292	2916	70	0.0810636277770378	0.490024341263477
g_Coprococcus	family_income_cat	>=10000	-0.00452307854355647	0.00259636172913009	2916	1159	0.0816000224684358	0.49072307089963
g_Bacteroides	family_income_cat	3000-5000	0.0186464169767024	0.0107523836761586	2916	2808	0.0829950666041818	0.494429969909543
g_Parabacteroides	Gender	Female	0.00180554112460833	0.00104207583545814	2916	927	0.0832663314764852	0.494429969909543
g_Sediminibacterium	Energy_intake	Energy_intake	-0.00179424300032664	0.00103709498508897	2916	1078	0.0837249834629433	0.494429969909543
g_Eubacterium	family_income_cat	>=10000	-0.00439860827537866	0.00254120915645468	2916	393	0.0835740545907738	0.494429969909543
